source,parameter,location_scope,calibration_factor,calibration_method,notes
aqiin,pm25,ALL,1.0,ground_truth,AQI.in station measurements are treated as ground truth for calibration.
aqiin,pm10,ALL,1.0,ground_truth,AQI.in station measurements are treated as ground truth for calibration.
aqiin,o3,ALL,1.0,ground_truth,AQI.in station measurements are treated as ground truth for calibration.
aqiin,no2,ALL,1.0,ground_truth,AQI.in station measurements are treated as ground truth for calibration.
aqiin,co,ALL,1.0,ground_truth,AQI.in station measurements are treated as ground truth for calibration.
aqiin,so2,ALL,1.0,ground_truth,AQI.in station measurements are treated as ground truth for calibration.
openweather,pm10,ALL,1.0,no_stable_global_factor,"Overlap ratios vary strongly by region; no global PM10 factor is applied until region-specific calibration is available."
openweather,o3,ALL,0.65,empirical_overlap_30d,"30-day same ward/hour overlap median suggests OpenWeather O3 should be dampened, but not as aggressively as the legacy 0.20 factor."
openweather,no2,ALL,2.0,empirical_overlap_30d,"NO2 overlap is noisy and generally lower in OpenWeather; 2.0 is a conservative uplift near the lower quartile of observed ratios."
openweather,co,ALL,1.0,none,CO unit conversion already correct; calibration not needed.
openweather,so2,ALL,1.0,none,SO2 not primary concern in Vietnam urban areas; no correction needed.
openweather,pm25,ALL,0.80,empirical_overlap_30d,"Global fallback for PM2.5 when no province-specific factor exists."
openweather,pm25,Lạng Sơn,0.33,empirical_overlap_30d,"Severe overestimate at border"
openweather,pm25,Cao Bằng,0.40,empirical_overlap_30d,"Severe overestimate at border"
openweather,pm25,Bắc Ninh,0.53,empirical_overlap_30d,"Moderate overestimate"
openweather,pm25,Hải Phòng,0.55,empirical_overlap_30d,"Moderate overestimate"
openweather,pm25,Tây Ninh,0.55,empirical_overlap_30d,"Moderate overestimate"
openweather,pm25,Ninh Bình,0.66,empirical_overlap_30d,"Moderate overestimate"
openweather,pm25,Hà Nội,0.76,empirical_overlap_30d,"Slight overestimate"
openweather,pm25,Hưng Yên,0.73,empirical_overlap_30d,"Slight overestimate"
openweather,pm25,Nghệ An,0.95,empirical_overlap_30d,"Slight overestimate"
openweather,pm25,Đồng Nai,1.02,empirical_overlap_30d,"Slight underestimate"
openweather,pm25,Thanh Hóa,1.10,empirical_overlap_30d,"Slight underestimate"
openweather,pm25,Phú Thọ,1.18,empirical_overlap_30d,"Moderate underestimate"
openweather,pm25,Quảng Trị,1.34,empirical_overlap_30d,"Moderate underestimate"
openweather,pm25,Đà Nẵng,1.57,empirical_overlap_30d,"Moderate underestimate"
openweather,pm25,Tuyên Quang,1.55,empirical_overlap_30d,"Moderate underestimate"
openweather,pm25,Lâm Đồng,1.91,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Gia Lai,1.91,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Huế,2.21,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Lào Cai,2.52,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Quảng Ngãi,2.54,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Đồng Tháp,2.75,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Vĩnh Long,2.89,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Khánh Hòa,2.99,empirical_overlap_30d,"Severe underestimate"
openweather,pm25,Cần Thơ,3.29,empirical_overlap_30d,"Extreme underestimate"
openweather,pm25,Sơn La,3.74,empirical_overlap_30d,"Extreme underestimate"
openweather,pm25,An Giang,5.00,empirical_overlap_30d,"Extreme underestimate (capped at 5.0)"
